num_links,num_words,num_special_chars,has_spammy_keywords,label
3,189,15,0,SPAM
1,184,4,0,NOT SPAM
1,22,7,1,NOT SPAM
3,68,18,1,NOT SPAM
0,142,19,0,SPAM
1,27,11,1,NOT SPAM
1,124,7,0,NOT SPAM
0,119,7,0,NOT SPAM
1,86,5,1,NOT SPAM
2,184,19,0,SPAM
0,100,8,0,NOT SPAM
3,179,1,1,SPAM
4,30,17,1,NOT SPAM
4,103,0,1,NOT SPAM
1,175,10,0,SPAM
1,195,14,1,SPAM
0,70,11,0,NOT SPAM
0,108,2,0,NOT SPAM
4,195,18,0,SPAM
2,145,19,0,SPAM
1,183,18,1,SPAM
1,9,9,0,NOT SPAM
3,179,15,1,SPAM
4,168,5,1,SPAM
4,168,8,1,SPAM
3,182,7,1,SPAM
2,188,15,1,SPAM
2,23,7,1,NOT SPAM
0,24,17,1,NOT SPAM
4,154,4,1,NOT SPAM
2,35,19,1,NOT SPAM
5,109,11,0,NOT SPAM
2,194,5,1,SPAM
0,48,1,0,NOT SPAM
3,199,3,0,SPAM
5,105,15,0,SPAM
1,93,13,1,NOT SPAM
0,53,16,1,NOT SPAM
8,63,18,0,NOT SPAM
1,136,3,1,NOT SPAM
2,121,17,0,SPAM
3,171,11,1,SPAM
4,139,1,1,NOT SPAM
3,181,5,0,SPAM
0,93,5,1,NOT SPAM
0,19,2,1,NOT SPAM
3,11,7,0,NOT SPAM
1,179,11,0,SPAM
2,120,2,1,NOT SPAM
3,102,1,1,NOT SPAM
5,122,0,0,NOT SPAM
2,177,17,0,SPAM
3,112,17,0,SPAM
2,110,7,0,NOT SPAM
0,151,13,1,SPAM
0,51,12,0,NOT SPAM
1,57,14,0,NOT SPAM
1,159,14,0,SPAM
3,137,12,1,SPAM
1,64,3,0,NOT SPAM
0,81,3,1,NOT SPAM
1,66,4,0,NOT SPAM
1,63,2,1,NOT SPAM
0,193,11,0,SPAM
1,60,19,1,NOT SPAM
2,82,11,1,NOT SPAM
0,51,19,0,NOT SPAM
2,180,6,0,NOT SPAM
2,142,6,1,NOT SPAM
3,164,0,0,NOT SPAM
1,197,11,0,SPAM
2,28,2,1,NOT SPAM
2,33,14,0,NOT SPAM
3,139,8,0,NOT SPAM
1,99,19,0,SPAM
2,149,8,0,NOT SPAM
1,98,13,1,NOT SPAM
0,29,2,1,NOT SPAM
1,40,7,1,NOT SPAM
1,193,5,1,SPAM
5,75,11,0,NOT SPAM
3,167,1,1,NOT SPAM
0,124,2,0,NOT SPAM
1,54,13,0,NOT SPAM
2,188,16,1,SPAM
3,132,2,0,NOT SPAM
1,197,3,1,SPAM
1,45,14,0,NOT SPAM
1,29,6,0,NOT SPAM
1,166,18,1,SPAM
3,140,13,0,SPAM
4,60,15,0,NOT SPAM
1,88,12,1,NOT SPAM
3,162,19,1,SPAM
2,72,16,0,NOT SPAM
2,25,16,1,NOT SPAM
0,95,9,0,NOT SPAM
2,14,6,1,NOT SPAM
1,91,19,1,NOT SPAM
1,37,16,0,NOT SPAM
1,109,11,1,NOT SPAM
0,87,10,0,NOT SPAM
3,8,9,1,NOT SPAM
4,27,7,0,NOT SPAM
4,57,14,0,NOT SPAM
2,117,17,1,SPAM
0,137,12,1,NOT SPAM
3,22,15,0,NOT SPAM
2,21,12,1,NOT SPAM
1,190,3,0,SPAM
2,199,10,0,SPAM
3,111,18,0,SPAM
2,117,7,1,NOT SPAM
2,126,9,1,NOT SPAM
4,188,11,0,SPAM
0,172,19,1,SPAM
3,91,10,1,NOT SPAM
5,6,19,1,NOT SPAM
1,125,3,0,NOT SPAM
1,107,18,0,SPAM
3,153,19,1,SPAM
1,184,9,0,SPAM
1,156,14,0,SPAM
2,57,12,0,NOT SPAM
2,170,12,1,SPAM
3,152,17,0,SPAM
1,54,6,0,NOT SPAM
3,171,13,1,SPAM
2,64,4,1,NOT SPAM
2,118,8,0,NOT SPAM
6,112,16,1,SPAM
3,43,4,0,NOT SPAM
3,75,15,1,NOT SPAM
2,132,8,0,NOT SPAM
4,37,16,1,NOT SPAM
0,161,17,0,SPAM
2,78,2,0,NOT SPAM
1,14,4,0,NOT SPAM
3,199,16,0,SPAM
2,135,19,1,SPAM
1,113,3,0,NOT SPAM
1,163,3,0,NOT SPAM
3,31,6,1,NOT SPAM
1,31,7,1,NOT SPAM
1,115,1,0,NOT SPAM
2,13,9,1,NOT SPAM
0,10,4,0,NOT SPAM
3,138,16,1,SPAM
3,30,6,1,NOT SPAM
1,47,1,0,NOT SPAM
2,23,5,0,NOT SPAM
3,20,9,0,NOT SPAM
2,109,8,0,NOT SPAM
3,27,4,0,NOT SPAM
2,161,2,1,NOT SPAM
0,170,10,1,SPAM
1,63,9,1,NOT SPAM
1,52,15,1,NOT SPAM
1,152,19,0,SPAM
1,25,18,1,NOT SPAM
0,160,0,1,NOT SPAM
2,182,10,1,SPAM
1,37,14,1,NOT SPAM
3,118,6,0,NOT SPAM
2,44,7,0,NOT SPAM
2,186,15,1,SPAM
0,14,17,1,NOT SPAM
1,166,10,1,SPAM
1,77,0,1,NOT SPAM
3,40,15,0,NOT SPAM
1,79,3,1,NOT SPAM
2,139,5,0,NOT SPAM
2,119,10,1,NOT SPAM
3,20,5,0,NOT SPAM
4,183,9,1,SPAM
0,193,5,0,SPAM
2,163,9,0,SPAM
1,164,4,0,NOT SPAM
3,49,8,1,NOT SPAM
1,31,6,1,NOT SPAM
1,26,16,0,NOT SPAM
2,147,11,0,SPAM
2,12,10,1,NOT SPAM
0,120,5,1,NOT SPAM
1,140,10,0,SPAM
4,91,10,1,NOT SPAM
3,121,13,0,SPAM
0,20,15,1,NOT SPAM
1,180,1,1,NOT SPAM
0,166,1,0,NOT SPAM
2,117,4,1,NOT SPAM
1,61,13,1,NOT SPAM
2,137,9,1,NOT SPAM
4,48,9,0,NOT SPAM
0,75,17,0,NOT SPAM
2,41,19,1,NOT SPAM
2,128,8,0,NOT SPAM
1,32,3,1,NOT SPAM
0,72,16,0,NOT SPAM
3,117,1,0,NOT SPAM
3,170,13,1,SPAM
2,50,0,1,NOT SPAM
0,104,6,1,NOT SPAM
1,30,3,0,NOT SPAM
2,79,8,1,NOT SPAM
5,185,2,1,SPAM
2,195,4,1,SPAM
3,116,9,0,NOT SPAM
2,67,9,0,NOT SPAM
2,116,3,0,NOT SPAM
5,170,16,1,SPAM
4,147,16,1,SPAM
2,103,18,0,NOT SPAM
0,13,5,1,NOT SPAM
3,79,0,0,NOT SPAM
2,26,13,0,NOT SPAM
3,188,12,0,SPAM
1,41,2,0,NOT SPAM
1,61,1,0,NOT SPAM
5,192,6,1,SPAM
3,118,11,1,NOT SPAM
4,144,1,0,NOT SPAM
2,139,10,1,SPAM
1,198,15,0,SPAM
1,107,4,1,NOT SPAM
0,45,16,0,NOT SPAM
0,156,2,1,NOT SPAM
3,157,13,0,SPAM
3,194,15,0,SPAM
4,109,16,0,SPAM
2,110,18,0,SPAM
4,48,3,0,NOT SPAM
1,134,19,1,SPAM
2,174,19,0,SPAM
0,165,8,1,SPAM
5,149,10,0,SPAM
2,126,4,0,NOT SPAM
2,195,10,1,SPAM
3,154,12,0,SPAM
2,5,1,0,NOT SPAM
6,98,1,0,NOT SPAM
2,186,9,0,SPAM
2,18,12,0,NOT SPAM
2,104,4,0,NOT SPAM
3,106,10,1,NOT SPAM
3,57,14,0,NOT SPAM
3,10,4,1,NOT SPAM
6,94,19,0,SPAM
1,68,4,0,NOT SPAM
2,92,6,1,NOT SPAM
1,37,9,1,NOT SPAM
2,76,1,0,NOT SPAM
3,48,0,1,NOT SPAM
3,111,19,0,SPAM
2,38,0,0,NOT SPAM
1,166,3,0,NOT SPAM
4,156,14,1,SPAM
1,6,14,1,NOT SPAM
2,140,5,1,NOT SPAM
2,121,5,1,NOT SPAM
2,157,0,0,NOT SPAM
0,125,6,1,NOT SPAM
4,36,4,1,NOT SPAM
1,60,16,1,NOT SPAM
0,98,6,0,NOT SPAM
2,11,3,0,NOT SPAM
2,180,2,0,NOT SPAM
3,92,11,1,NOT SPAM
2,186,14,0,SPAM
0,195,19,0,SPAM
2,134,8,0,NOT SPAM
2,39,11,1,NOT SPAM
3,102,4,1,NOT SPAM
2,26,7,0,NOT SPAM
2,196,14,0,SPAM
0,63,6,0,NOT SPAM
3,181,18,0,SPAM
3,56,12,0,NOT SPAM
4,153,0,1,NOT SPAM
0,144,10,0,NOT SPAM
4,15,12,0,NOT SPAM
0,186,1,0,NOT SPAM
2,126,18,1,SPAM
1,18,10,1,NOT SPAM
2,37,0,0,NOT SPAM
2,106,0,1,NOT SPAM
0,81,7,1,NOT SPAM
2,30,12,1,NOT SPAM
4,146,7,0,NOT SPAM
1,180,1,0,NOT SPAM
2,69,7,0,NOT SPAM
3,50,13,0,NOT SPAM
0,131,1,0,NOT SPAM
2,187,12,1,SPAM
1,98,4,1,NOT SPAM
0,78,0,1,NOT SPAM
1,132,8,0,NOT SPAM
3,78,19,1,SPAM
1,144,9,0,NOT SPAM
2,186,10,0,SPAM
1,196,17,1,SPAM
5,106,16,1,SPAM
1,51,5,0,NOT SPAM
4,169,10,1,SPAM
2,173,3,1,NOT SPAM
0,31,0,1,NOT SPAM
1,174,0,0,NOT SPAM
3,90,17,0,NOT SPAM
2,72,4,1,NOT SPAM
3,161,15,1,SPAM
3,168,1,0,NOT SPAM
1,113,8,0,NOT SPAM
0,61,1,0,NOT SPAM
1,144,4,0,NOT SPAM
4,177,19,1,SPAM
2,152,16,0,SPAM
4,49,18,0,NOT SPAM
3,27,9,1,NOT SPAM
2,194,7,1,SPAM
3,38,19,1,NOT SPAM
2,25,10,0,NOT SPAM
2,183,12,0,SPAM
2,141,12,1,SPAM
3,117,8,0,NOT SPAM
1,14,4,0,NOT SPAM
2,56,17,0,NOT SPAM
3,49,7,1,NOT SPAM
2,184,19,1,SPAM
0,34,13,0,NOT SPAM
1,196,1,0,SPAM
2,134,15,0,SPAM
2,181,0,0,NOT SPAM
1,100,12,0,NOT SPAM
0,177,17,1,SPAM
5,21,0,1,NOT SPAM
2,32,6,0,NOT SPAM
1,130,3,1,NOT SPAM
2,49,9,0,NOT SPAM
0,21,7,0,NOT SPAM
2,191,2,0,SPAM
1,146,6,1,NOT SPAM
3,120,15,1,SPAM
4,142,19,1,SPAM
2,85,9,1,NOT SPAM
0,22,12,1,NOT SPAM
2,39,0,1,NOT SPAM
2,180,6,0,SPAM
3,62,9,0,NOT SPAM
5,119,11,0,SPAM
2,22,13,0,NOT SPAM
3,184,10,1,SPAM
3,162,16,1,SPAM
2,41,8,0,NOT SPAM
5,44,7,1,NOT SPAM
2,10,9,1,NOT SPAM
5,83,3,1,NOT SPAM
0,167,4,1,NOT SPAM
1,158,17,1,SPAM
1,109,5,1,NOT SPAM
2,95,9,0,NOT SPAM
1,162,17,1,SPAM
1,79,10,1,NOT SPAM
0,120,4,0,NOT SPAM
3,156,2,0,NOT SPAM
3,126,17,0,SPAM
0,59,3,0,NOT SPAM
1,13,7,0,NOT SPAM
2,110,16,0,SPAM
5,66,9,0,NOT SPAM
1,115,18,0,SPAM
3,150,0,0,NOT SPAM
0,55,1,1,NOT SPAM
2,107,10,1,NOT SPAM
1,23,14,0,NOT SPAM
1,73,0,0,NOT SPAM
2,121,8,0,NOT SPAM
2,86,7,1,NOT SPAM
1,127,0,0,NOT SPAM
1,37,9,1,NOT SPAM
1,112,16,1,SPAM
1,170,17,1,SPAM
3,17,15,1,NOT SPAM
2,181,1,0,NOT SPAM
5,77,16,0,NOT SPAM
1,94,3,0,NOT SPAM
3,185,6,0,SPAM
2,133,8,0,NOT SPAM
3,16,2,1,NOT SPAM
3,156,19,1,SPAM
3,133,4,0,NOT SPAM
0,72,17,1,NOT SPAM
3,139,16,1,SPAM
2,120,6,0,NOT SPAM
1,96,13,1,NOT SPAM
2,43,14,1,NOT SPAM
3,36,13,0,NOT SPAM
0,181,8,1,SPAM
2,163,15,0,SPAM
0,112,18,1,SPAM
0,83,0,1,NOT SPAM
2,7,7,0,NOT SPAM
1,114,17,1,SPAM
0,179,1,1,NOT SPAM
1,115,3,0,NOT SPAM
2,19,0,1,NOT SPAM
3,55,18,1,NOT SPAM
4,111,10,0,NOT SPAM
2,25,5,0,NOT SPAM
2,45,18,1,NOT SPAM
2,124,13,1,SPAM
0,7,18,0,NOT SPAM
2,133,12,1,SPAM
3,153,11,0,SPAM
1,84,9,1,NOT SPAM
6,103,18,0,SPAM
1,153,10,0,SPAM
3,109,11,0,NOT SPAM
1,99,6,0,NOT SPAM
1,181,7,1,SPAM
3,69,16,1,NOT SPAM
3,45,2,0,NOT SPAM
3,71,5,0,NOT SPAM
1,128,11,0,NOT SPAM
6,46,14,1,NOT SPAM
0,73,6,0,NOT SPAM
1,189,5,1,SPAM
4,175,11,1,SPAM
0,105,11,0,NOT SPAM
5,144,3,1,NOT SPAM
2,68,8,1,NOT SPAM
1,112,16,0,SPAM
0,55,1,1,NOT SPAM
0,77,4,0,NOT SPAM
4,64,9,1,NOT SPAM
2,84,5,0,NOT SPAM
2,160,5,1,NOT SPAM
1,128,4,1,NOT SPAM
0,18,7,1,NOT SPAM
2,164,2,0,NOT SPAM
1,12,13,1,NOT SPAM
3,31,4,1,NOT SPAM
0,54,14,1,NOT SPAM
1,191,8,0,SPAM
1,61,14,0,NOT SPAM
4,7,18,0,NOT SPAM
3,159,15,1,SPAM
2,38,7,1,NOT SPAM
2,30,14,0,NOT SPAM
2,172,10,0,SPAM
2,119,3,1,NOT SPAM
2,90,9,1,NOT SPAM
1,164,9,1,SPAM
0,173,1,0,NOT SPAM
4,134,7,1,NOT SPAM
0,115,7,0,NOT SPAM
3,110,8,0,NOT SPAM
1,139,1,0,NOT SPAM
2,23,13,0,NOT SPAM
2,37,19,1,NOT SPAM
5,6,1,0,NOT SPAM
1,199,3,1,SPAM
1,19,2,0,NOT SPAM
5,25,13,0,NOT SPAM
1,82,15,0,NOT SPAM
1,63,14,0,NOT SPAM
3,108,6,1,NOT SPAM
0,86,17,1,SPAM
1,122,19,1,SPAM
0,117,5,1,NOT SPAM
0,43,15,0,NOT SPAM
3,24,10,1,NOT SPAM
3,5,1,1,NOT SPAM
1,77,1,0,NOT SPAM
2,13,13,0,NOT SPAM
0,55,8,0,NOT SPAM
0,170,11,1,SPAM
4,19,2,1,NOT SPAM
1,88,4,0,NOT SPAM
4,45,8,1,NOT SPAM
4,179,2,0,SPAM
4,158,17,0,SPAM
2,58,1,1,NOT SPAM
2,123,3,0,NOT SPAM
3,171,12,1,SPAM
2,21,16,0,NOT SPAM
5,132,8,0,NOT SPAM
5,96,18,0,SPAM
1,13,13,0,NOT SPAM
2,50,12,1,NOT SPAM
1,138,4,0,NOT SPAM
2,20,17,0,NOT SPAM
4,116,14,1,SPAM
2,91,10,0,NOT SPAM
4,161,18,1,SPAM
1,173,4,1,SPAM
3,66,6,1,NOT SPAM
2,108,1,0,NOT SPAM
3,124,18,1,SPAM
3,172,15,0,SPAM
1,194,2,1,SPAM
3,156,9,1,SPAM
1,138,11,1,SPAM
3,44,1,0,NOT SPAM
4,62,7,1,NOT SPAM
2,146,8,1,NOT SPAM
3,82,19,0,NOT SPAM
3,177,11,1,SPAM
3,115,4,1,NOT SPAM
3,103,12,1,NOT SPAM
1,10,4,0,NOT SPAM
0,27,14,1,NOT SPAM
4,66,4,0,NOT SPAM
1,21,4,0,NOT SPAM
2,88,3,0,NOT SPAM
1,116,15,1,SPAM
5,108,17,1,SPAM
1,129,9,0,NOT SPAM
2,32,19,0,NOT SPAM
2,145,2,0,NOT SPAM
1,161,9,1,SPAM
0,177,12,1,SPAM
0,24,2,1,NOT SPAM
2,190,3,0,NOT SPAM
2,121,12,0,SPAM
3,58,13,0,NOT SPAM
3,113,3,1,NOT SPAM
0,68,11,1,NOT SPAM
3,56,15,1,NOT SPAM
1,47,9,0,NOT SPAM
1,91,19,1,SPAM
3,22,16,1,NOT SPAM
0,88,6,0,NOT SPAM
1,58,3,1,NOT SPAM
2,64,11,1,NOT SPAM
2,127,9,1,NOT SPAM
1,75,1,1,NOT SPAM
1,133,13,0,SPAM
0,117,7,0,NOT SPAM
1,41,9,0,NOT SPAM
2,53,5,0,NOT SPAM
1,39,1,1,NOT SPAM
4,109,13,0,NOT SPAM
1,199,10,0,SPAM
3,39,1,0,NOT SPAM
1,13,3,0,NOT SPAM
3,169,5,1,SPAM
0,64,3,0,NOT SPAM
1,60,4,1,NOT SPAM
2,110,5,1,NOT SPAM
1,115,8,1,NOT SPAM
2,93,15,0,NOT SPAM
2,16,10,1,NOT SPAM
2,75,10,0,NOT SPAM
4,75,9,0,NOT SPAM
2,123,0,1,NOT SPAM
3,136,16,1,SPAM
2,193,7,1,SPAM
1,177,15,1,SPAM
2,99,5,1,NOT SPAM
4,182,13,1,SPAM
2,54,1,0,NOT SPAM
0,107,8,0,NOT SPAM
3,180,3,1,SPAM
0,27,18,0,NOT SPAM
5,94,16,0,NOT SPAM
2,97,0,0,NOT SPAM
3,12,1,0,NOT SPAM
2,33,16,0,NOT SPAM
5,175,1,1,SPAM
2,57,2,1,NOT SPAM
2,138,3,0,NOT SPAM
1,28,12,0,NOT SPAM
1,124,11,1,NOT SPAM
6,128,4,1,NOT SPAM
1,146,13,0,SPAM
2,56,5,1,NOT SPAM
0,74,0,1,NOT SPAM
4,8,15,0,NOT SPAM
2,190,5,0,SPAM
3,120,12,1,SPAM
3,41,12,0,NOT SPAM
3,52,10,0,NOT SPAM
2,126,15,0,SPAM
1,43,13,0,NOT SPAM
2,96,10,1,NOT SPAM
3,70,4,0,NOT SPAM
3,17,9,1,NOT SPAM
3,198,14,0,SPAM
2,64,6,0,NOT SPAM
3,130,2,0,NOT SPAM
2,173,10,0,SPAM
0,36,8,0,NOT SPAM
4,184,9,0,SPAM
3,137,3,0,NOT SPAM
2,199,19,0,SPAM
3,70,17,1,NOT SPAM
2,82,13,1,NOT SPAM
1,184,8,1,SPAM
4,130,19,1,SPAM
3,181,15,1,SPAM
4,33,1,0,NOT SPAM
1,170,6,0,NOT SPAM
2,74,4,0,NOT SPAM
1,140,16,0,SPAM
2,191,10,1,SPAM
1,59,3,1,NOT SPAM
1,114,16,1,NOT SPAM
5,6,4,1,NOT SPAM
0,158,3,0,NOT SPAM
2,67,9,0,NOT SPAM
4,21,2,0,NOT SPAM
2,63,5,1,NOT SPAM
0,92,7,1,NOT SPAM
5,20,4,0,NOT SPAM
2,62,7,0,NOT SPAM
4,196,9,0,SPAM
3,54,18,1,NOT SPAM
1,158,3,1,NOT SPAM
2,21,5,0,NOT SPAM
5,118,2,1,NOT SPAM
1,50,3,0,NOT SPAM
1,110,3,0,NOT SPAM
1,131,4,0,NOT SPAM
3,54,14,1,NOT SPAM
2,175,15,1,SPAM
1,122,5,1,NOT SPAM
0,180,17,1,SPAM
1,72,11,1,NOT SPAM
0,151,19,0,SPAM
3,157,6,0,NOT SPAM
2,150,11,1,SPAM
0,55,13,1,NOT SPAM
1,150,12,0,SPAM
3,116,10,1,NOT SPAM
2,190,10,1,SPAM
1,68,1,1,NOT SPAM
3,189,13,1,SPAM
4,149,14,0,SPAM
0,63,0,1,NOT SPAM
1,199,11,0,SPAM
1,147,13,1,SPAM
2,104,17,1,NOT SPAM
2,30,2,0,NOT SPAM
0,180,11,0,SPAM
2,18,4,1,NOT SPAM
0,126,2,0,NOT SPAM
4,13,6,0,NOT SPAM
1,11,15,0,NOT SPAM
5,187,19,1,SPAM
1,144,16,1,SPAM
1,149,7,1,NOT SPAM
0,112,14,1,NOT SPAM
1,140,19,0,SPAM
2,95,14,1,NOT SPAM
0,128,7,1,NOT SPAM
3,174,10,1,SPAM
4,169,9,0,SPAM
2,152,17,0,SPAM
5,5,8,1,NOT SPAM
2,13,15,0,NOT SPAM
3,115,0,0,NOT SPAM
1,28,5,1,NOT SPAM
2,129,1,0,NOT SPAM
0,166,12,0,SPAM
3,40,5,1,NOT SPAM
1,8,8,1,NOT SPAM
3,161,13,0,SPAM
3,91,6,1,NOT SPAM
1,148,4,0,NOT SPAM
3,12,6,0,NOT SPAM
0,95,2,1,NOT SPAM
1,43,12,0,NOT SPAM
0,62,11,0,NOT SPAM
2,144,5,0,NOT SPAM
1,176,1,1,NOT SPAM
4,8,14,0,NOT SPAM
3,29,14,0,NOT SPAM
1,71,17,0,NOT SPAM
1,171,16,1,SPAM
4,122,2,1,NOT SPAM
1,28,2,1,NOT SPAM
1,10,8,0,NOT SPAM
1,101,9,1,NOT SPAM
3,76,11,1,NOT SPAM
1,165,0,0,NOT SPAM
2,180,3,1,SPAM
5,199,4,0,SPAM
1,128,16,0,SPAM
2,6,4,0,NOT SPAM
5,42,3,0,NOT SPAM
1,44,14,0,NOT SPAM
4,60,9,1,NOT SPAM
4,107,4,0,NOT SPAM
1,107,13,0,NOT SPAM
2,25,12,0,NOT SPAM
3,119,18,0,SPAM
6,39,7,0,NOT SPAM
0,71,11,0,NOT SPAM
4,192,19,0,SPAM
3,155,18,1,SPAM
1,197,18,1,SPAM
4,195,5,1,SPAM
1,155,7,0,SPAM
2,127,9,1,NOT SPAM
1,46,16,1,NOT SPAM
4,196,0,0,NOT SPAM
3,198,18,1,SPAM
6,85,11,0,NOT SPAM
1,45,1,0,NOT SPAM
2,118,16,0,SPAM
1,24,6,0,NOT SPAM
2,13,13,1,NOT SPAM
3,61,13,0,NOT SPAM
3,128,11,1,SPAM
0,149,15,1,SPAM
1,82,17,0,NOT SPAM
1,22,7,1,NOT SPAM
4,67,1,0,NOT SPAM
1,97,10,0,NOT SPAM
4,30,0,0,NOT SPAM
0,88,9,1,NOT SPAM
3,17,17,0,NOT SPAM
1,123,15,1,SPAM
2,149,1,1,NOT SPAM
4,119,16,0,SPAM
2,30,15,0,NOT SPAM
1,138,18,1,SPAM
1,85,4,1,NOT SPAM
2,136,5,0,NOT SPAM
1,93,16,0,NOT SPAM
2,11,15,0,NOT SPAM
1,21,15,0,NOT SPAM
2,90,6,0,NOT SPAM
0,132,15,1,SPAM
1,122,8,1,NOT SPAM
4,96,5,1,NOT SPAM
3,54,15,0,NOT SPAM
2,132,8,0,NOT SPAM
2,10,3,0,NOT SPAM
1,162,5,0,NOT SPAM
5,78,13,1,NOT SPAM
0,60,2,1,NOT SPAM
2,43,16,1,NOT SPAM
3,146,10,1,SPAM
1,58,7,0,NOT SPAM
2,26,7,1,NOT SPAM
4,189,3,0,SPAM
3,45,14,1,NOT SPAM
2,94,15,1,SPAM
1,14,10,0,NOT SPAM
3,6,6,0,NOT SPAM
2,199,17,0,SPAM
1,52,5,0,NOT SPAM
0,46,3,1,NOT SPAM
0,143,4,0,NOT SPAM
2,144,2,1,NOT SPAM
0,146,5,1,NOT SPAM
1,34,13,1,NOT SPAM
0,64,0,1,NOT SPAM
0,162,19,0,SPAM
2,42,13,0,NOT SPAM
2,79,5,1,NOT SPAM
4,69,2,1,NOT SPAM
4,179,16,0,SPAM
0,43,13,0,NOT SPAM
2,181,18,1,SPAM
1,77,6,1,NOT SPAM
2,62,10,1,NOT SPAM
1,111,6,0,NOT SPAM
0,93,12,0,NOT SPAM
4,21,13,1,NOT SPAM
4,138,10,1,SPAM
1,147,7,1,NOT SPAM
1,199,11,1,SPAM
3,99,14,1,NOT SPAM
6,160,9,1,SPAM
1,176,1,0,NOT SPAM
1,150,12,0,SPAM
3,164,9,0,SPAM
3,176,16,0,SPAM
1,74,9,0,NOT SPAM
2,67,5,1,NOT SPAM
2,62,19,0,NOT SPAM
